"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","4.555958","0","46"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","1","1","26.484304","0","466"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","1","1","26.513916","0","384"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","26.371019","0","287"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","19.307310","0","231"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","1","1","3.369848","0","34"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","4.510389","0","28"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","3.971401","0","45"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","2","2","25.168941","0","352"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","5.667649","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","2.035843","0","11"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","4.111451","0","22"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","6","6","27.235415","0","322"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","5","1","137.354568","0","660"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","1","1","406.586700","0","31913"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","4","1","103.194756","0","2769"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","13","1","60.417374","0","1624"
"/Game/BlockOut/Lights/SkyLight/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","2.420762","0","13"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","10.017957","0","96"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","1","1","103.012253","0","3512"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","16.844387","0","282"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","2.551438","0","23"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","2.639957","0","23"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","0.000000","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","82.015533","0","1385"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","50.846336","0","602"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","10.068387","0","89"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","1","1","12.753010","0","66"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","108","2","2","67.339760","0","1357"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","2","2","16.930882","0","228"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","101.745712","0","162"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","2","1","10.879430","0","80"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","1","1","11.318680","0","50"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","11.305060","0","72"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","11.459156","0","97"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","4","4","499.537933","0","833"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","4","4","72.750122","0","952"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","8","8","789.681519","0","1359"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","13","8","146.600693","0","1822"
